Annee;Mois;cours
2016;7;1 337,2
2016;6;1 276,7
2016;5;1 259,6
2016;4;1 242,5
2016;3;1 244,9
2016;2;1 201,4
2016;1;1 097,6
2015;12;1 069,9
2015;11;1 084,0
2015;10;1 159,9
2015;9;1 123,8
2015;8;1 118,7
2015;7;1 128,1
2015;6;1 180,8
2015;5;1 198,2
2015;4;1 199,8
2015;3;1 177,8
2015;2;1 224,9
2015;1;1 252,9
2014;12;1 200,2
2014;11;1 176,2
2014;10;1 222,9
2014;9;1 235,1
2014;8;1 295,1
2014;7;1 310,6
2014;6;1 282,2
2014;5;1 287,5
2014;4;1 298,2
2014;3;1 336,4
2014;2;1 301,0
2014;1;1 244,1
2013;12;1 225,0
2013;11;1 275,1
2013;10;1 316,8
2013;9;1 346,0
2013;8;1 352,7
2013;7;1 285,8
2013;6;1 342,1
2013;5;1 416,6
2013;4;1 484,6
2013;3;1 591,5
2013;2;1 627,5
2013;1;1 670,4
2012;12;1 684,4
2012;11;1 721,6
2012;10;1 744,4
2012;9;1 745,6
2012;8;1 629,9
2012;7;1 593,8
2012;6;1 600,7
2012;5;1 587,4
2012;4;1 649,5
2012;3;1 675,7
2012;2;1 742,9
2012;1;1 654,6
2011;12;1 640,3
2011;11;1 740,5
2011;10;1 669,9
2011;9;1 767,3
2011;8;1 758,5
2011;7;1 572,6
2011;6;1 528,0
2011;5;1 512,2
2011;4;1 482,9
2011;3;1 422,6
2011;2;1 374,5
2011;1;1 361,6
2010;12;1 393,3
2010;11;1 370,3
2010;10;1 343,2
2010;9;1 272,0
2010;8;1 217,4
2010;7;1 192,5
2010;6;1 234,7
2010;5;1 204,4
2010;4;1 150,3
2010;3;1 114,4
2010;2;1 097,8
2010;1;1 116,4
2009;12;1 127,9
2009;11;1 129,2
2009;10;1 044,3
2009;9;998,5
2009;8;949,7
2009;7;935,5
2009;6;946,4
2009;5;931,5
2009;4;892,2
2009;3;925,7
2009;2;942,3
2009;1;862,1
2008;12;823,8
2008;11;758,0
2008;10;802,1
2008;9;829,7
2008;8;836,0
2008;7;940,5
2008;6;890,1
2008;5;890,8
